店名,ジャンル,住所,営業時間,ホームページ,オープン日,公式アカウント,address,緯度,経度
C.REST,チョコレート、スイーツ（その他）,大阪府大阪市中央区南船場4-2-18,営業時間  11:00～19:00  定休日  日曜日  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.cqree.jp/c.rest/,,https://www.instagram.com/c.rest_2017/,大阪府大阪市中央区南船場4-2-18,34.67711,135.499679
アイノノピアーノショコラティエ 堂島店（Ai NONOPIANO CHOCOLATIER）,ケーキ、チョコレート、パン,大阪府大阪市北区堂島1-3-1 二葉ビル 1Ｆ ,営業時間  月～木 19:00～23:00　金 19:00～24:00※店舗ビル内へおみや配達時 短時間お店を閉めての配達対応する事がございます。※ケーキ類 完全売切の場合閉店させて頂く場合がございます。  定休日  土曜日・日曜日・祝日・お盆・年末年始・臨時休業はＨＰで告知,http://www.nonopiano.com/,2011年12月1日,https://www.facebook.com/nonopiano  https://www.instagram.com/ainonopiano,大阪府大阪市北区堂島1-3-1,34.69648,135.498473
リンツ ショコラ ブティック 天満橋京阪シティモール店,チョコレート,大阪府大阪市中央区天満橋京町1-1 京阪シティモール MBF ,営業時間  10:00～21:00(京阪シティモールの営業時間に準ずる)  日曜営業  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://www.lindt.jp/contents/shop/1243/,2019年3月21日,,大阪府大阪市中央区天満橋京町1-1,34.690115,135.516403
パティシエ コーイチ 玉造・真田山店,ケーキ、チョコレート,大阪府大阪市天王寺区玉造本町4-17 ヤングイン玉造 1F ,,http://patissier-coichi.com/index.html,,,大阪府大阪市天王寺区玉造本町4-17,34.674188,135.531171
レオニダス 大阪梅田店（Leonidas）,チョコレート,大阪府大阪市北区曽根崎新地1 堂島地下街３ ,営業時間  月～金10:00～20:00土10:00～19:00  定休日  日曜・祝日,http://www.leonidas-alex.jp/,,,大阪府大阪市北区曽根崎新地1,34.698259,135.498823
レクレール・ドゥ・ジェニ 大阪高島屋店,ケーキ、チョコレート,大阪府大阪市中央区難波5-1-5 大阪タカシマヤ B1F ,営業時間  10:00～20:30  日曜営業  定休日  無休  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://www.takashimaya.co.jp/store/special/leclairdegenie/index.html,2015年10月14日,,大阪府大阪市中央区難波5-1-5,34.664609,135.501263
MADAME Setsuko 阪急うめだ本店（マダム セツコ）,チョコレート,大阪府大阪市北区角田町8-7 阪急うめだ本店 B1F ,営業時間  日曜営業  定休日  不定休（阪急うめだに準ずる）  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.setsuko.co.jp/,,,大阪府大阪市北区角田町8-7,34.70305,135.498352
ママンのおやつHiTO,ケーキ、チョコレート,大阪府交野市倉治5-15-1,営業時間  AM9：00～PM8：00,http://ma-man.jp/,,,大阪府交野市倉治5-15-1,34.796793,135.687646
ルヴィーブル（Revi&Bleu）,ケーキ、チョコレート、洋菓子（その他）,大阪府高槻市西真上1-36-3,営業時間  10:00～20:00  定休日  年中無休,http://www.revi-bleu.com/,2016年9月22日,,大阪府高槻市西真上1-36-3,34.858941,135.605892
菓子房 きぬた,ケーキ、チョコレート,大阪府東大阪市小阪本町2-11-2,営業時間  10:00～19:00  日曜営業  定休日  月曜日、火曜日(加えて不定休あり)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://www.oec-kinuta.org/,,https://twitter.com/hyoutanjimayum1,大阪府東大阪市小阪本町2-11-2,34.65776,135.581287
レオニダス 箕面小野原店（Leonidas）,カフェ、チョコレート、スイーツ（その他）,大阪府箕面市小野原西3-21-34,営業時間  [木～火]10:00～19:00(カフェL.O.18:30)  日曜営業  定休日  水曜日,,,,大阪府箕面市小野原西3-21-34,34.830416,135.51063
ゴディバ ららぽーとEXPOCITY店,チョコレート,大阪府吹田市千里万博公園2-1 ららぽーとEXPOCITY 1F ,営業時間  10:00～21:00  日曜営業  定休日  不定休(ららぽーとEXPOCITYに準ずる)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://www.godiva.co.jp/,2015年11月19日,https://www.facebook.com/GodivaJapan  https://twitter.com/godiva_jpn  https://www.instagram.com/godiva_japan/,大阪府吹田市千里万博公園2-1,34.805863,135.53511
アンリ・シャルパンティエ 心斎橋大丸店,ケーキ、チョコレート,大阪府大阪市中央区心斎橋筋1-7-1 大丸心斎橋店 B2F ,営業時間  10：00～20：00  定休日  不定休（大丸に準ずる）  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.henri-charpentier.com/,,,大阪府大阪市中央区心斎橋筋1-7-1,34.67385,135.500963
レオニダス 千里中央店,チョコレート、ソフトクリーム、カフェ,大阪府豊中市新千里東町 1-1-3 SENRITOよみうり 2F ,営業時間  コロナ感染拡大防止のため営業日を変更しております。営業時間11時～19時までとなります。定休　土日  日曜営業  定休日  木曜日（6月～10月は各木曜日と第1・第2金曜日）,,,,大阪府豊中市新千里東町,34.811598,135.500447
ゴディバ 三番街店（GODIVA）,チョコレート、アイスクリーム,大阪府大阪市北区芝田1-1-3 阪急三番街 B2F ,営業時間  10:00～21:00  日曜営業  定休日  不定休(阪急三番街に準ずる)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://www.godiva.co.jp/,,https://www.facebook.com/GodivaJapan  https://twitter.com/godiva_jpn  https://www.instagram.com/godiva_japan/,大阪府大阪市北区芝田1-1-3,34.706018,135.498238
メリー 高島屋大阪店,チョコレート,大阪府大阪市中央区難波5-1-5 大阪タカシマヤ 1F ,営業時間  10:00～20:00  日曜営業  定休日  無休  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.mary.co.jp/shoplist/kansai/index.html#osaka,,,大阪府大阪市中央区難波5-1-5,34.664609,135.501263
ミナモアレ 大丸梅田店,洋菓子（その他）、チョコレート,大阪府大阪市北区梅田3-1-1 大丸梅田 B1 ,営業時間  ［月・火・水・木・日］10:00～20:30［金・土］10:00～21:00 日曜営業  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://minamoalley.co.jp,2017年9月1日,,大阪府大阪市北区梅田3-1-1,34.703075,135.495271
ホテル ショコラ りんくう泉南店（HOTEL Chocolat）,チョコレート、カフェ,大阪府泉南市りんくう南浜3-12 イオンモールりんくう泉南 1F ,営業時間  10:00～21:00  日曜営業  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://hotelchocolat.co.jp/pages/rinkusennan,2019年12月6日,https://www.facebook.com/hotelchocolatjp  https://twitter.com/hotelchocolatjp,大阪府泉南市りんくう南浜3-12,34.37941,135.266769
移転  ココロトカカオ（KOKORO TO CACAO）  移転前の店舗情報です。新しい店舗はココロトカカオ（kokoro to cacao）をご参照ください。,チョコレート、ケーキ,大阪府堺市西区菱木2-2183-5,営業時間  第三月曜日のみ営業10:00～22:00  定休日  火曜日、水曜日、木曜日、金曜日、土曜日、日曜日  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,,2020年11月16日,https://www.instagram.com/tocoto.ltd/,大阪府堺市西区菱木2-2183-5,34.513732,135.470649
モロゾフ 高島屋大阪店,チョコレート,大阪府大阪市中央区難波5-1-5 大阪タカシマヤ 1F ,営業時間  10:00～20:00  定休日  不定休(大阪高島屋に準ずる)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,,,,大阪府大阪市中央区難波5-1-5,34.664609,135.501263
ヴィタメール 近鉄あべのハルカス店,チョコレート、ケーキ,大阪府大阪市阿倍野区阿倍野筋1-1-43 あべのハルカス 近鉄本店 B1F ,営業時間  10:00～20:30  日曜営業  定休日  不定休(あべのハルカス近鉄本店に準ずる)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://www.wittamer.jp//,2015年5月28日,,大阪府大阪市阿倍野区阿倍野筋1-1-43,34.645952,135.513974
エクチュア 大丸心斎橋店,チョコレート,大阪府大阪市中央区心斎橋筋1-7-1 大丸心斎橋店 本館 B1F   このお店は「大阪市中央区心斎橋筋1-7-1」から移転しています。  ※移転前の情報は最新のものとは異なります。  移転前の店舗情報を見る,,http://www.ek-chuah.co.jp/,,,大阪府大阪市中央区心斎橋筋1-7-1,34.67385,135.500963
ケーキ ラボ シード 岸和田店（cake labo seed）,ケーキ、チョコレート,大阪府岸和田市土生町4-3-1-106,営業時間  [月～土]10:00～20:00[日・祝]10:00～18:00  日曜営業  定休日  無休  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,,,,大阪府岸和田市土生町4-3-1-106,34.448398,135.385724
グラン フール 阪神梅田本店（GRAND FOUR）,ケーキ、チョコレート,大阪府大阪市北区梅田1-13-13 阪神百貨店梅田本店 B1F ,営業時間  阪神梅田本店に準ずる  日曜営業  定休日  阪神梅田本店に準ずる  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.hanshin-dept.jp/dept/,2009年8月26日,,大阪府大阪市北区梅田1-13-13,34.701132,135.499039
ムッシュショコラ,洋菓子（その他）、チョコレート,大阪府大阪市淀川区西中島5-16-1 JR新大阪駅 Sweets PATIO ,,,2015年12月17日,,大阪府大阪市淀川区西中島5-16-1,34.73372,135.500836
ショコラティエ ポワン（chocolatier point）,チョコレート、ケーキ,大阪府豊中市上野東2-17-47 Point 2F ,営業時間  11:00～16:00  定休日  日曜日、月曜日  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://point-accueillir.com/,2019年12月10日,,大阪府豊中市上野東2-17-47,34.792287,135.476003
ジュール,ケーキ、チョコレート,大阪府大阪市住之江区中加賀屋2-4-22,営業時間  10:00～20:00  日曜営業  定休日  月曜日(祝日の場合翌日),https://jour-france-cake.jimdofree.com,2012年4月4日,https://www.facebook.com/フランス菓子-ジュール-271509866268106/  https://www.instagram.com/jour_france_cake/,大阪府大阪市住之江区中加賀屋2-4-22,34.617827,135.481513
エーデル 放出東店,ケーキ、チョコレート,大阪府大阪市鶴見区放出東2-22-17,営業時間  [月～土]9:00～21:00[日・祝]9:00～20:00  定休日  無休  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,,,,大阪府大阪市鶴見区放出東2-22-17,34.691979,135.566009
メリーチョコレート 阪神百貨店（Mary Chocolate）,チョコレート,大阪府大阪市北区梅田1-13-13 阪神百貨店梅田本店 F ,営業時間  10:00～20:00  定休日  不定休(阪神梅田本店に準ずる)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.mary.co.jp/,,,大阪府大阪市北区梅田1-13-13,34.701132,135.499039
ゴディバ 大阪高島屋（GODIVA）,チョコレート、アイスクリーム,大阪府大阪市中央区難波5-1-5 大阪タカシマヤ B1F ,営業時間  [日～木]10:00～20:00[金・土]10:00～20:30  日曜営業  定休日  不定休(大阪タカシマヤに準ずる)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://www.godiva.co.jp/,,https://www.facebook.com/GodivaJapan  https://twitter.com/godiva_jpn  https://www.instagram.com/godiva_japan/,大阪府大阪市中央区難波5-1-5,34.664609,135.501263
モロゾフチョコレートショップ なんばウォーク店,チョコレート、ケーキ,大阪府大阪市中央区難波2-1-10 なんばウォーク ,営業時間  10:00～21:00  日曜営業  定休日  無休  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.morozoff.co.jp/,,,大阪府大阪市中央区難波2-1-10,34.667147,135.499548
モロゾフ 近鉄上本町店（MOROZOFF）,チョコレート、ケーキ,大阪府大阪市天王寺区上本町6-1-55 近鉄百貨店上本町店 B2F ,営業時間  10:00～20:00  日曜営業  定休日  近鉄上本町店に準ずる  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.morozoff.co.jp/,,https://www.facebook.com/morozoff.limited  https://twitter.com/morozoff_sp  https://www.instagram.com/morozoff_sp/,大阪府大阪市天王寺区上本町6-1-55,34.665579,135.520925
リンツ ショコラ ブティック＆カフェ 天王寺ミオ店,カフェ、チョコレート,大阪府大阪市天王寺区悲田院町10-48 天王寺ミオプラザ館 2F ,営業時間  10:00～21:00,https://www.lindt.jp/,2019年3月1日,,大阪府大阪市天王寺区悲田院町10-48,34.647654,135.514038
コカルド OBP店,ケーキ、チョコレート,大阪府大阪市中央区城見2丁目1-61 ツイン21 1 ,営業時間  10:00～22:00  日曜営業  定休日  日曜日、不定休  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://www.cocarde.jp/,,https://www.instagram.com/cocarde1990/,大阪府大阪市中央区城見2丁目1-61,34.692954,135.531315
27℃ 肥後橋店,ケーキ、チョコレート,大阪府大阪市西区江戸堀1-1-11,営業時間  10:00～19:00  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://www.mon-cher.com/special/27c_higobashi/,2022年4月27日,https://www.instagram.com/27c_higobashi,大阪府大阪市西区江戸堀1-1-11,34.692004,135.497165
monoGRAM studio cafe（モノグラムスタジオカフェ）,カフェ、チョコレート、洋菓子（その他）,大阪府茨木市元町1-17 シェルエメール 1F ,営業時間  月〜日11:00〜20:00（L.O）  日曜営業  定休日  毎週水曜日,,,,大阪府茨木市元町1-17,34.817361,135.572936
チョコレートショップ スカイスター（SKY STAR）,チョコレート,大阪府大阪市東淀川区淡路4-18-13 1F ,営業時間  10:00～19:00 (10月～11月・4月～5月)10:00～18:00(12月～3月)6月～9月までお休みです。  日曜営業  定休日  月曜日・木曜日(祝日やイベント前は営業)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,,2017年10月5日,https://www.facebook.com/Skystar-149986038944459/  https://www.instagram.com/skystar20171005/,大阪府大阪市東淀川区淡路4-18-13,34.740879,135.514534
桜チョコレート（Sakura CHOCOLATE）,チョコレート、ケーキ,大阪府堺市南区豊田982-2,営業時間  10:00～19:00  定休日  年中無休 (元日のみ休業）  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://www.sakura-coffee.jp/,,,大阪府堺市南区豊田982-2,34.493621,135.495826
ミナモアレ なんばマルイ店,チョコレート,大阪府大阪市中央区難波3-8-9 なんばマルイ 1F ,,,,,大阪府大阪市中央区難波3-8-9,34.665515,135.501002
モンロワール なんばウォーク店,チョコレート,大阪府大阪市中央区難波2 なんばウォ−ク 1-12 ,営業時間  10:00～21:00  日曜営業  定休日  不定休  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,,,,大阪府大阪市中央区難波2,34.667592,135.498385
バトンドール 大阪国際空港（伊丹空港）店（Baton dor）,チョコレート,大阪府豊中市蛍池西町3-555 大阪国際空港 ターミナルビル 2F ,営業時間  7:30～19:30  日曜営業  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://www.glico.com/jp/enjoy/shop/batondorshop/itamikuko/,,,大阪府豊中市蛍池西町3-555,34.790663,135.441212
ハイジ 大丸梅田店（HEIDI）,洋菓子（その他）、チョコレート、ケーキ,大阪府大阪市北区梅田3-1-1 大丸梅田店 ,営業時間  ［月～木・日］10:00～20:30［金･土］10:00～21:00(大丸梅田店地下1階営業時間に準ずる)  日曜営業  定休日  大丸梅田店に準ずる  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://heidi-cake.co.jp,2019年9月11日,,大阪府大阪市北区梅田3-1-1,34.703075,135.495271
マキャプート 大阪タカシマヤ店（Makea Puut）,チョコレート,大阪府大阪市中央区難波5-1-5 大阪タカシマヤ B1F ,営業時間  10:00～20:00  日曜営業  定休日  年中無休  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.mary.co.jp/new_open/makeapuut.html,2013年3月6日,,大阪府大阪市中央区難波5-1-5,34.664609,135.501263
キャンディー・ア・ゴー・ゴー 心斎橋店（CANDY A☆GO☆GO!）,洋菓子（その他）、チョコレート,大阪府大阪市中央区心斎橋筋1-6-1 心斎橋161 1F ,営業時間  11:00～21:00  日曜営業  定休日  無休  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,,2016年4月21日,,大阪府大阪市中央区心斎橋筋1-6-1,34.672672,135.501264
スペース・ファンタジー・ステーション,チョコレート,大阪府大阪市此花区桜島2-1-33 ユニバーサルスタジオジャパン ハリウッドエリア　スペース・ファンタジー・ザ・ライド前 ,営業時間  ユニバーサル・スタジオ・ジャパンに準ずる  日曜営業  定休日  不定休(ユニバーサル・スタジオ・ジャパンに準ずる)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,,,,大阪府大阪市此花区桜島2-1-33,34.667266,135.433643
お菓子工房Echelle,ケーキ、洋菓子（その他）、チョコレート,大阪府守口市大久保町2丁目26-13,営業時間  [木・金・土]11:00～19:00  定休日  月・火・水・日  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://echelle.info/,2018年5月24日,https://www.facebook.com/お菓子工房Echelle-531838070581102/  https://twitter.com/Echelle20445961  https://www.instagram.com/kashi.echelle,大阪府守口市大久保町2丁目26-13,34.750797,135.602332
ゴディバ あべのハルカス近鉄本店（GODIVA）,チョコレート,大阪府大阪市阿倍野区阿倍野筋1-1-43 あべのハルカス 近鉄本店　タワー館B1F ,営業時間  10:00～20:30  日曜営業  定休日  施設に準ずる  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://www.godiva.co.jp/,,https://www.facebook.com/GodivaJapan  https://twitter.com/godiva_jpn  https://www.instagram.com/godiva_japan/,大阪府大阪市阿倍野区阿倍野筋1-1-43,34.645952,135.513974
ラ・メゾン・デュ・ショコラ 大阪タカシマヤ店,チョコレート,大阪府大阪市中央区難波5-15 大阪タカシマヤ B1F ,営業時間  10:00～20:00  日曜営業  定休日  大阪タカシマヤに準ずる  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://www.lamaisonduchocolat.co.jp/ja_jp/,,https://www.facebook.com/LaMaisonduChocolatJapon/  https://www.instagram.com/lamaisonduchocolat_jp/,大阪府大阪市中央区難波5-15,34.664499,135.501331
ゴディバ 大丸心斎橋（GODIVA）,チョコレート,大阪府大阪市中央区心斎橋筋1-7-1 大丸心斎橋店 B2F ,営業時間  10:00～20:00  日曜営業  定休日  大丸心斎橋店に準ずる  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://www.godiva.co.jp/,,https://www.facebook.com/GodivaJapan  https://twitter.com/godiva_jpn  https://www.instagram.com/godiva_japan/,大阪府大阪市中央区心斎橋筋1-7-1,34.67385,135.500963
ゴンチャロフ 阪急百貨店うめだ本店（Goncharoff）,チョコレート,大阪府大阪市北区角田町8-7 阪急うめだ本店 だ本店 B1F ,営業時間  [月～木・日] 10:00～20:00 [金・土] 10:00～21:00  日曜営業  定休日  不定休(阪急百貨店うめだ本店に準ずる)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.goncharoff.co.jp/,,https://www.instagram.com/goncharoff_1923/,大阪府大阪市北区角田町8-7,34.70305,135.498352
ゴンチャロフ 阪神百貨店梅田本店（Goncharoff）,チョコレート,大阪府大阪市北区梅田1-13-13 阪神百貨店梅田本店 ,営業時間  [月・火] 10:00～20:30 [水～土] 10:00～21:00 [日・祝] 10:00～20:00  日曜営業  定休日  年中無休  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.goncharoff.co.jp/,,,大阪府大阪市北区梅田1-13-13,34.701132,135.499039
ゴディバ 阪神梅田本店,チョコレート、アイスクリーム,大阪府大阪市北区梅田1-13-13 阪神百貨店梅田本店 ,営業時間  阪神百貨店本店に準ずる  定休日  阪神百貨店本店に準ずる  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.godiva.co.jp/products/ice.php,,,大阪府大阪市北区梅田1-13-13,34.701132,135.499039
ゴディバ イオンモール大日店（GODIVA）,チョコレート,大阪府守口市大日東町1-18 イオンモール大日 1F ,営業時間  9:00～22:00(ドリンクL.O.21:00)  日曜営業  定休日  不定休(イオンモール大日に準ずる)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://www.godiva.co.jp/,2012年11月16日,https://www.facebook.com/GodivaJapan  https://twitter.com/godiva_jpn  https://www.instagram.com/godiva_japan/,大阪府守口市大日東町1-18,34.749561,135.580207
ゴディバ ららぽーと和泉店（GODIVA）,チョコレート,大阪府和泉市あゆみ野4-4-7 ららぽーと和泉 2F ,営業時間  10:00～21:00  日曜営業  定休日  不定休(ららぽーと和泉に準ずる)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://www.godiva.co.jp/,2014年10月30日,https://www.facebook.com/GodivaJapan  https://twitter.com/godiva_jpn  https://www.instagram.com/godiva_japan/,大阪府和泉市あゆみ野4-4-7,34.437033,135.448335
メリーチョコレート 近鉄百貨店上本町店,チョコレート,大阪府大阪市天王寺区上本町6-1-55 近鉄百貨店上本町店 B2F ,営業時間  10:00～20:00  定休日  近鉄百貨上本町店に準ずる  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.mary.co.jp/,,,大阪府大阪市天王寺区上本町6-1-55,34.665579,135.520925
モロゾフ 大丸梅田店,ケーキ、チョコレート,大阪府大阪市北区梅田3-1-1 大丸梅田店 B1F ,営業時間  10:00～20:00  定休日  梅田大丸の休日に準ずる  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.morozoff.co.jp/index.html,,,大阪府大阪市北区梅田3-1-1,34.703075,135.495271
ゴディバ 堺北花田店（GODIVA）,チョコレート、カフェ,大阪府堺市北区東浅香山町4-1-12 イオンモール北花田 1F ,営業時間  10:00～21:00(ドリンクL.O.20:30)  日曜営業  定休日  不定休(イオンモール北花田に準ずる)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.godiva.co.jp,2017年7月13日,https://www.facebook.com/GodivaJapan  https://twitter.com/godiva_jpn  https://www.instagram.com/godiva_japan/,大阪府堺市北区東浅香山町4-1-12,34.584482,135.514728
ゴディバ あべのキューズモール店,チョコレート,大阪府大阪市阿倍野区阿倍野筋1-6-1 あべのキューズモール B1F ,営業時間  10:00～21:00  日曜営業  定休日  あべのキューズモールに準ずる  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://www.godiva.co.jp/,,https://www.facebook.com/GodivaJapan  https://twitter.com/godiva_jpn  https://www.instagram.com/godiva_japan/,大阪府大阪市阿倍野区阿倍野筋1-6-1,34.645046,135.511727
モロゾフ 京阪百貨店モール京橋店,チョコレート,大阪府大阪市都島区東野田町2-1-38 京阪百貨店モール京橋店 B1F ,営業時間  10:00～20:00  定休日  無休  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.morozoff.co.jp/index.html,,https://www.facebook.com/morozoff.limited  https://twitter.com/morozoff_sp  https://www.instagram.com/morozoff_sp/,大阪府大阪市都島区東野田町2-1-38,34.697678,135.532913
神戸フランツ アルデ新大阪店（KOBE Frantz）,チョコレート、洋菓子（その他）、ケーキ,大阪府大阪市淀川区西中島5-16-1 ＪＲ新大阪駅２階アルデ新大阪 ,営業時間  営業時間：9:00～21:00  日曜営業  定休日  年中無休,http://www.frantz.jp/,2017年8月12日,https://www.facebook.com/frantzshinosaka/  https://twitter.com/kobefrantz  https://www.instagram.com/kobefrantz/,大阪府大阪市淀川区西中島5-16-1,34.73372,135.500836
レオニダス 豊中店,チョコレート,大阪府豊中市西緑丘2-6-28,営業時間  [木～火]10:00～19:00  日曜営業  定休日  水曜,http://www.leonidas-alex.jp/,,https://twitter.com/leonidasbyalex  https://www.instagram.com/leonidasmisumi/,大阪府豊中市西緑丘2-6-28,34.808794,135.477457
レオニダス 香里園店（Leonidas）,チョコレート,大阪府寝屋川市香里本通町11-8,営業時間  10:00～18:00  日曜営業  定休日  毎週水曜、第3火曜定休  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.leonidas-alex.jp/,2009年2月1日,,大阪府寝屋川市香里本通町11-8,34.784521,135.634364
カンキツ屋,チョコレート、洋菓子（その他）、スイーツ（その他）,大阪府大阪市北区浪花町8-5,営業時間  13:00-17:00※月曜日水、金は仕込み日ですが、販売可能とのこと。予め確認するのをオススメします。  日曜営業  定休日  月曜日、水曜日、金曜日  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://kankitsuya.edisone.jp/,2020年10月15日,https://www.instagram.com/kankitsuya/?hl=ja,大阪府大阪市北区浪花町8-5,34.707931,135.510197
フーシェ あべの近鉄,チョコレート,大阪府大阪市阿倍野区阿倍野筋1-1-43 B2F ,営業時間  10:00～20:30  定休日  不定休  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.matsukazeya.co.jp/syouhin/foucher/foucher.html,,,大阪府大阪市阿倍野区阿倍野筋1-1-43,34.645952,135.513974
リ・オ・ショコラ 高槻阪急店,チョコレート,大阪府高槻市白梅町4-1 高槻阪急店 B1F ,営業時間  9:00～22:00  定休日  不定休(西部高槻店に準ずる)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,,2015年10月15日,,大阪府高槻市白梅町4-1,34.853398,135.618343
マカロフ．Ｇ 松坂屋高槻店,ケーキ、チョコレート,大阪府高槻市紺屋町2-1 松坂屋高槻店 B1F ,営業時間  10:00～20:00  日曜営業  定休日  無休  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,,,,大阪府高槻市紺屋町2-1,34.850541,135.618417
ジェシカ（JESSICA）,チョコレート,大阪府大阪市北区中崎町1-11-7 第三中野ビル 1F ,営業時間  9:00～17:00  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,,2017年10月9日,,大阪府大阪市北区中崎町1-11-7,34.708059,135.507054
リンツ ショコラ ブティック 京橋京阪モール店（Lindt Chocolat Boutique）,チョコレート,大阪府大阪市都島区東野田町2-1-38 京阪モール ホテル館 1F ,営業時間  11:00～21:00  日曜営業  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://www.lindt.jp/,2021年12月10日,,大阪府大阪市都島区東野田町2-1-38,34.697678,135.532913
AMANA BY MITATE 箕面店（アマナ バイ ミタテ）,チョコレート、カフェ,大阪府箕面市森町中1-18-16,営業時間  11:00～16:30  日曜営業  定休日  不定休  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://amana-minoo.jp,2022年2月5日,https://www.instagram.com/amana_by_mitate_minoo,大阪府箕面市森町中1-18-16,34.889695,135.462149
Madame Delluc ヒルトンプラザ店（マダム ドリュック）,チョコレート、スイーツ（その他）,大阪府大阪市北区梅田1-8-16 ヒルトンプラザイースト 2F ,営業時間  11:00～19:00  日曜営業  定休日  不定休  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://madamedelluc.jp,2022年2月10日,https://twitter.com/madame_delluc  https://www.instagram.com/madamedelluc_shops_japan/,大阪府大阪市北区梅田1-8-16,34.69994,135.495988
ロイスピエール 阪神梅田本店,チョコレート、ケーキ,大阪府大阪市北区梅田1-13-13 阪神百貨店梅田本店 F ,営業時間  [月・火・日] 10:00～20:00 [水～土] 10:00～21:00  定休日  不定休(阪神梅田本店に準じる)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.hanshin-dept.jp/dept/,,,大阪府大阪市北区梅田1-13-13,34.701132,135.499039
